Hash,LongName,Parent,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI,MIMS,MISEI,MISM,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS,WarningCritical,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Controversial Rules,Design Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,Migration Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Number of Bugs
458b19c7254a162bfd0f926ae1f553d05852f85a,com.hazelcast.query.impl.ReflectionHelper$ThisGetter.isCacheable()Z,com.hazelcast.query.impl.ReflectionHelper$ThisGetter,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,4,1,0,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0261611ce1d6e95cd84910390d1c0c653fa0dfd2,com.hazelcast.query.impl.getters.NullMultiValueGetter.getReturnType()Ljava/lang/Class;,com.hazelcast.query.impl.getters.NullMultiValueGetter,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,1,0,0.0,0,0,0.0,0,4,4,1,0,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0261611ce1d6e95cd84910390d1c0c653fa0dfd2,com.hazelcast.query.impl.getters.NullMultiValueGetter.isCacheable()Z,com.hazelcast.query.impl.getters.NullMultiValueGetter,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,1,0,0.0,0,0,0.0,0,4,4,1,0,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
078e4faae79ee911646942e59cf0d2a84199cb5c,com.hazelcast.client.cache.impl.CacheStatsHandler$5.onFailure(Ljava/lang/Throwable;)V,com.hazelcast.client.cache.impl.CacheStatsHandler$5,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0cf8d4e4b4bb67c11e3b136f5e719e6d498b7504,com.hazelcast.cache.instance.CacheHazelcastInstanceAwareTest$CachePartitionLostListenerWithDependencies.partitionLost(Lcom/hazelcast/cache/impl/event/CachePartitionLostEvent;)V,com.hazelcast.cache.instance.CacheHazelcastInstanceAwareTest$CachePartitionLostListenerWithDependencies,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0cf8d4e4b4bb67c11e3b136f5e719e6d498b7504,com.hazelcast.spring.cache.JCachePartitionLostListener.partitionLost(Lcom/hazelcast/cache/impl/event/CachePartitionLostEvent;)V,com.hazelcast.spring.cache.JCachePartitionLostListener,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102cc4ef8d2e7bf4eca5451494ef6bf09deb6e43,com.hazelcast.client.spi.ProxyFactoryTest$CustomService.destroyDistributedObject(Ljava/lang/String;)V,com.hazelcast.client.spi.ProxyFactoryTest$CustomService,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10773b4cd855bdfd84ea80d22b8ed3c977459444,com.hazelcast.map.MapTransactionStressTest$DummyTransactionalService.rollbackTransaction(Ljava/lang/String;)V,com.hazelcast.map.MapTransactionStressTest$DummyTransactionalService,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10773b4cd855bdfd84ea80d22b8ed3c977459444,com.hazelcast.map.MapTransactionStressTest$DummyTransactionalService.destroyDistributedObject(Ljava/lang/String;)V,com.hazelcast.map.MapTransactionStressTest$DummyTransactionalService,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144b16f5422237c71d5c1b23e08cdca922368110,com.hazelcast.map.EmbeddedMapInterceptorTest$SimpleInterceptor.afterGet(Ljava/lang/Object;)V,com.hazelcast.map.EmbeddedMapInterceptorTest$SimpleInterceptor,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144b16f5422237c71d5c1b23e08cdca922368110,com.hazelcast.map.EmbeddedMapInterceptorTest$SimpleInterceptor.afterRemove(Ljava/lang/Object;)V,com.hazelcast.map.EmbeddedMapInterceptorTest$SimpleInterceptor,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
