Hash,LongName,Parent,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI,MIMS,MISEI,MISM,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS,WarningCritical,WarningMajor,WarningMinor,Basic Rules,Brace Rules,Controversial Rules,Design Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Number of Bugs
c22f1aa4acad4234623c31121f33b2b2f3afffc5,io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$ReducedState.windowSize()I,io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$ReducedState,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,4,1,0,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
c22f1aa4acad4234623c31121f33b2b2f3afffc5,io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$DefaultState.windowSize()I,io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$DefaultState,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,4,1,0,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
c22f1aa4acad4234623c31121f33b2b2f3afffc5,io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$DefaultState.pendingBytes()I,io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$DefaultState,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,4,1,0,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
c22f1aa4acad4234623c31121f33b2b2f3afffc5,io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$ReducedState.pendingBytes()I,io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$ReducedState,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,134.056,78.3955,117.803,68.8909,1,0,0,0,0,0.0,0,0,0.0,0,4,4,1,0,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2b014ce82a71cad586ce3919d31d160fe05366cd,io.netty.channel.group.DefaultChannnelGroupTest$1.inboundBufferUpdated(Lio/netty/channel/ChannelHandlerContext;)V,io.netty.channel.group.DefaultChannnelGroupTest$1,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3482651e0c29edfa02f189751c704ebe4fe8f54c,io.netty.handler.codec.http2.Http2ConnectionAdapter.onStreamAdded(Lio/netty/handler/codec/http2/Http2Stream;)V,io.netty.handler.codec.http2.Http2ConnectionAdapter,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3482651e0c29edfa02f189751c704ebe4fe8f54c,io.netty.util.internal.EmptyPriorityQueue.priorityChanged(Ljava/lang/Object;)V,io.netty.util.internal.EmptyPriorityQueue,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9125060752f5124949e55a6868647c75f88cdb01,io.netty.handler.ssl.OpenSslEngine$1.removeValue(Ljava/lang/String;)V,io.netty.handler.ssl.OpenSslEngine$1,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b39380ad83cda7ebe79d692216e204b8b6b67568,io.netty.example.http2.helloworld.server.HelloWorldHttp2Handler.onSettingsAckRead(Lio/netty/channel/ChannelHandlerContext;)V,io.netty.example.http2.helloworld.server.HelloWorldHttp2Handler,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869687bd711e1358367203526128d9a2ad90663a,io.netty.channel.ChannelOutboundBuffer.totalPendingWriteBytes()J,io.netty.channel.ChannelOutboundBuffer,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,0,0,0.0,0,0,0.0,0,3,3,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2fd42cfc6b32dacb812c6f2ecef8522cd94718d4,io.netty.handler.codec.http2.internal.hpack.Decoder.getMaxHeaderListSizeGoAway()J,io.netty.handler.codec.http2.internal.hpack.Decoder,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,1,0,0.0,0,0,0.0,0,3,3,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2fd42cfc6b32dacb812c6f2ecef8522cd94718d4,io.netty.handler.codec.http2.internal.hpack.Decoder.getMaxHeaderListSize()J,io.netty.handler.codec.http2.internal.hpack.Decoder,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,1,0,0.0,0,0,0.0,0,3,3,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63a02fc04e6ce45aee38b0437ae0279880e5fe40,io.netty.handler.codec.dns.DnsOpCode.byteValue()B,io.netty.handler.codec.dns.DnsOpCode,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,1,0,0.0,0,0,0.0,0,3,3,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a6c4f651a7772afb0410206908169901ff0bdc81,io.netty.example.http.websocketx.client.WebSocketClientHandler.handshakeFuture()Lio/netty/channel/ChannelFuture;,io.netty.example.http.websocketx.client.WebSocketClientHandler,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,1,0,0.0,0,0,0.0,0,3,3,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d93f9062554d07eec6d376d85d886e40b6a907f7,io.netty.buffer.PooledByteBufAllocatorTest$AllocationThread.isFinished()Z,io.netty.buffer.PooledByteBufAllocatorTest$AllocationThread,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,1,0,0.0,0,0,0.0,0,3,3,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f3dd4101425165496490f9c975ca2e556773c663,io.netty.channel.nio.AbstractNioByteChannel.isInputShutdown0()Z,io.netty.channel.nio.AbstractNioByteChannel,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,1,0,0.0,0,0,0.0,0,3,3,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631077c79391fde22afdb1e43d0f642ba530101e,io.netty.channel.epoll.EpollRecvByteAllocatorHandle.isReceivedRdHup()Z,io.netty.channel.epoll.EpollRecvByteAllocatorHandle,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,1,0,0.0,0,0,0.0,0,3,3,1,0,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74738fbd08eec71dc6c8dd801f79e7f2e3e7f366,io.netty.util.internal.PlatformDependent0.hasCopyMethods()Z,io.netty.util.internal.PlatformDependent0,0.0,0,0,0,0.0,0.0,0,0,10.0,2.0,31.0195,9.87242,6,6,1.72331,15.5098,138.717,81.121,124.527,72.8228,1,0,0,1,0,0.0,0,0,0.0,0,3,3,1,0,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
